Label,Casefold
positif,lokasi hotel cukup strategis pelayanan cukup baik menu beragam dan cukup enak
positif,tempatnya strategis pelayanan bagus semua ramah
positif,hotel bintang yang cukup baik cocok buat liburan keluarga makannya enak karyawan sangat ramah suasana yang nyaman dan adem cukup memuaskan
netral,overall sudah baik cuma ada beberapa yang masih bisa perlu ditingkatkan mulai dari jatah air minum yang bisa diperbanyak ketanggapan petugas dalam menangani komplain dari konsumen dan perbaikan untuk fasilitas kamar mandi yang perlu diperhatikan makanan semuanya enak dan pelayanan sangat ramah dan bagus
,sarapan paginya sangat puas dan enak layanan atas nama fifin
,sarapan disini sgt bervariasi rekomended sotonya seger bgt
,pilihan tepat untuk buka bersama di jogja harga terjangkau pelayanan ramah menu variatif tidak seramai iftar di tempat lain jd masih nyaman
,hotel nya bersih dan semua pelayanan ny best banget makanan ny juga enak jadi pengen kembali lagi kehotel ini dilain waktu thankyou grandmercure
,overall semuanya bagus makanan cukup enak pelayanan memuaskan
negatif,pesan kamar untuk malam dengan extrabed malam terakhir tanpa konfirmasi extrabed di take out dari kamar sudah full payment diawal alasan nya salah input kami balik kerja pukul
,room nya bersih rapi dan wangi untuk breakfast nyaa banyak pilihan nyaa enak semuaa sampe bingung pokoknyaa terbaikkk terima kasih pelayanannya sangat ramah
netral,secara kamar udah bagus tapi mungkin ac nya sedikit kendala yak karena harus atur manual juga untuk tirai di kamar mandi saya sempat mengalami kendala but overall sudah bagus
,menarik nih hotel desainnya klasik otentik serasa lagi di borobudur kalo ke hotel ini
,breakfastnya lengkap enak variatif
,makanan di restoran enak pelayanan oleh wina pasya erwanda juga sangat ramah dan sangat membantu dan sangat cocok untuk yang ingin ber liburan
,sarapannya luar biasa god job ramah sekali karyawannya adeeemmmmm pokoknya kereennn
,sarapan pagi sangat memuaskan dan sangat enak enak dan layanan atas nama fifin sangat baik dan cepat
netral,makan malam tanggal juni di acara kantor di sini tahu gejrotnya kurang pedas untuk saya tapi seafood lada hitamnya sangat berasa lupa foto sebelum makan jadi fotonya pas udah mau abis aja
,belum ada keluhan yg berarti ketika menginap disini desain interiornya menarik mencerminkan khas daerah jogja terkesan dengan penggunaan gelas kaca untuk air mineral kegiatan meeting sudah tidak menggunakan air minum kemasan botol
positif,pelayanan staf ramah kamarnya nyaman
positif,hotel yang nyaman serta pelayanan yang ramah
positif,kamar bersih makanan enak pelayanan nya juga raman dan baik
,hotel dgn pelayanan yang baik hospitality sangat baik dari semua staff secara umum ini hotel yang luar biasa strategis dan nyaman terimakasih service ya luar biasa
,fasilitas nyaman sarapan paginya oke banget pelayanannya helpfull dengan devita
,menu sarapanya enak
positif,tempatnya sangat baik dan bersih makanan dan minumannya juga sangat enak dan memuaskan
,pelayanan sangat baik makanannya enak kamarnya sangat nyaman
,pelayananx bagus baik makanannyabjuga enak kamarx rapi
negatif,kamarnya bersih nyaman ada guling tv channel lumayan ok cuman belum hd makanan ok soso staff wanita ramah entah kenapa yg cowo jutek hal yg kecil tapi menurut ku rada greget pemilihan interior restaurant yg kurang matching dari
,pelayanannya ok suasananya nyaman pelayanan kak meyriska makannya enak
,terbaikk kamar nyaman ballroom luas bagus dan makanan nya enak sangat rekomended utk liburan maupun acara resmi nice hotel
positif,hotel nya bersih sarapan nya juga lengkap service nya juga memuaskan
,tempatnya nyaman makanannya enak mantappp
,tempat bersih dan nyaman untuk makanan cukup enak pelayanan yg diberikan sangat ramah serta lokasi hotel ini sangat strategis karena dengan area wisata dan kot
,untuk dinner nya enak sekali untuk kikil mercon sangat enak dan bumbunya medok sekali untuk bajigur tidal begitu terasa jaheny tp ttp enak semua pelayanan baik di resto maupun di kamarnya semua baik
positif,kamarnya bersih nyaman dan makannya enak lokasi strategis deket mau kemana mana
,makanan nya enak semua pelayanan terbaik dan ramah
positif,pelayanan baik staff hotel ramah hotel luas dan memiliki fasilitas yang lengkap kamar bersih dan luas kasur nyaman hidangan yang disajikan juga beragam mulai dari appetizer hingga dessert dan enak rasanya
,enak banget nginep di sini posisi dekat kemana mana strategis pelayanan juga baik sarapan sih enak hehehehe hari yang menyenangkan selama di jogja
positif,layanan hotel grand mercure yogyakarta secara umumnya sangat memuaskan kamarnya sangat bersih dan rapi makanannya juga enak dan banyak variannya pertahankan layanan prima ini
,pelayanannya bagus ramah makanannya enak enak tempatnya nyaman
,pelayanan keren bgt hotelnya juga bersih bgt dan responnya sangat cepat terhadap tamu rekomendasi bgt deh klo mau liburan ke jogja nginepnya dihotel ini
,tempat yg cukup nyaman untuk menginap sarapan cukup variatif overall ok
,hotel ternyaman di jogja fasilitas lengkap dan pelayanan ramah hanya saja jarak ke pusat wisata malioboro lumayan jauh selebihnya
positif,pertama bermalam di grand mercure jogja kamar tidurnya nyaman buat tidur nyenyak banget
,indonesian baru saja menginap di hotel grand mercure dan sangat terkesan dengan pengalaman makan siang di restoran hotel makanan yang disajikan sangat bervariasi dan
,sarapan nya luar biasa mba lena
,terimakasih layanan yang ok mealsnya kopi makanan berat dan aneka masakan localnya mantab tempat duduk di resto dengan view ke merapi sajian coffee break saat meeting juga ok sampai jumpa grand mercure see u soon with great moment holiday
,sarapan nya menarik dan restoran bersih pelayanan memuaskan pelayanan kak tania nya juga sangat baik dan bagus
,terimakasih kak lena layanan sarapannya keren terimakasih
,silvia menyenangkan dan ramah
,kesekian kali berkunjung kesini dan mulai semakin ok terima kasih untuk fom bu fitri beserta tim dan fbm p iqram beserta tim yang sudah banyak membantu dari awal saya ci to co januari meski dikunjungan saya kali ini tidak
,sugeng rawuh ning jogja temans pengalaman pertama stay di grand mercure yogya overall menyenangkan
,pengalaman memuaskan menginap di hotel mercure ini kamar yang bersih dan nyaman makanan yang enak dan pelayanan para staff yan ramah dan cekatan sangat disarankan untuk menginap disini ketika liburan dijogja terima masih hotel mercure
,breakfastnya okee
,pelayanan semua ramah dan baik makanan tidak diragukan lagi semua menu enak kebersihan terjaga hotel pilihan untuk liburan di yogyakarta
,ini momen kedua saya ke jogja yang dimana mendapatkan pengalaman yang seru dengan menginap di hotel ini pelayanan nya luar biasa bangat semua staff nya baik banget dan ada satu staff
,cukup puas dengan menu breakfast pelayanan ramah bu silvia sangat murah senyum dan baik pelayanannya kepada customer
negatif,bad service udah reservasi bukber dari jauh hari survey langsung tanggal maret buat nentuin tempat duduk karena bawa banyak orang dan diokein sama stafnya tapi di hari acara tiba request tempat duduk yang sudah disepakati tidak
,kamarnya nyaman fasilitas bagus sarapan enak
negatif,saya menginap september anak saya tahun di kamar kena paku payung sepertinya dari salah satu kursi kamar kurang ok maintenance nya
negatif,dari lift yang ada hanya yang beroperasi di long weekend bobrok banget managementnya gaada persiapan mateng bgt ngadepin long weekend bayar mahal cuman buat nunggu lift sekelas mercure lohh
,breakfastnya pilihan menu nya sangat veriatif dan bnyk dan staff nya ramah apa lgi yg namanya mba rosvina melayani dengan baik dan sepenuh hati all the best untuk grand mercure jogja sukses selalu
,saya bukber pertama kali disini pelayanan sangat ramah apalagi dengan mba andini sangat ramah dalam melayani
,makanan sarapan nya enak enak dan lengkap segala ada pelayananan bagus dan tepat waktu sebelum jam sudah ready menerima tamu pokoknya mah maknyusss deh
netral,pelayanan ramah kesini karena acara rapat evaluasi bawaslu kabupaten hotelnya luas toilet bersih ballroom luas uniknya di lift engga ada akses ke lantai jadi sempat bingung pas mau cari mushola yang kata temenku ada di lantai
positif,suasananya enak nyaman saya suka menu sarapannya bervariatif apalagi sama jajanan khas jawanya ada jamunya juga recomended
,alhamdulillah berkesempatan menginap di hotel grand mercure yogyakarta sangat nyaman tempat strategis menu breakfast cukup lengkap kamar nyaman staf ramah
,makanannya enak di lidah orang lokal servisnya waktu coffee break malah disediakan box untuk wadah kuenya krn hbs penutupan acara semua pada mau segera ke kmr utk istirahat itu istimewanya grand mercure
negatif,mengikuti sebuah acara di ballroom pulang jam malam parkiran b dan jalan menuju pintu keluar gelap parkir berbayar mahal sampai di depan hanya ada security di pintu masuk tidak ada yang membantu di pintu keluar padahal lalu lintas padat berbeda saat lewat ke hotel sebelahnya
,makanan bervariasi ada tradisioanal western rasa jamu khas dan enak ruangan bersih paling ada bagian dekat pintu yg rusak
positif,makanan dan layanan hotel bagus semoga bisa kembali ke hotel ini
netral,makananya enak kamar nya oke namun yg kurang bagi saya adalah kebersihan karena sy sering sekali menginap di mercure bandung jakarta itu sangat luar biasa bersih
,kamar layanan dan lokasi ok menu makanan cocok di saya yg orang gresik mbak lena ramah banget bantu fotoin saya dan teman juga
,sarapan dengan menu yang variasi sangat baik untuk tamu alangkah baiknya untuk sofa di sediakan yg free sisanya baru u tuk reservasi
,pelayanan untuk makan siang an fifin oke
,selalu menginap kesini klau staycation di jogja pelayanannya baik ramah terutama staff saat sarapan kamar bersih lokasinya strategis
positif,menurutku sih hotel ini emang berkualitas banget sepadan dengan harganya pelayanan juga ramah banget makanan yang disajikan sangat unik enak dan beraneka ragam boleh sih ini rekomended banget buat yang mau healing
positif,tempat strategis tidak jauh dari bandara adi sucipto kamar bersih dan nyaman dari segi hidangan juga enak pelayanan ramah dan harmonis dari kak thania layak untuk dicoba
positif,menyenangkan untuk semua pelayanannya baik breakfast dan kamarnya terimakasih banyak mba silvia atas pelayanannya
,ke sini karena ada amanah internship th secara umum hotelnya nyaman pelayanannya baik ramah family friendly banget deh pokoknya recommended banget buat liburan keluarga mau staycation di sini juga oke banget
positif,room bersih menu lengkap kolam renang nyaman pelayanan ramah
,sangat memuaskan sekali pelayanannya khususnya mba ega silkia resto nya makanan lengkap
,pelayanan di purple restorant sangat memuaskan dan nyaman suasana adem dan enak buat nyantai dan kumpul bareng keluarga makanan nya sangat enak dan mantap karena banyak berbagai makanan dan soup nya
,makanan enak bangett kamar bersih dan nyaman overall saya suka banget hotel ini
,overall hotelnya bagus kamar lokasi makanan sarapannya mantul dekat kemana dan banyak makanan
positif,tempatnya nyaman fasilitas lengkap
,pelayanan yang sangat bagus dengan kak silkia kamar bersih makanan banyak variannya recomendded
,makanan nga enak lokasi nya bersih pelayan nya sangat membantu di bantu oleh training lena
negatif,overall ok kamar nyaman lokasi pinggir jalan akses mudah utk resto menu makanan variatif selalu available selalu direfill lay out duduk ok pelayanan ok waitress cepat dan responsif untuk fasilitas sayang kolam renangnya under construction jd kurang nyaman dan tidak semua lift difungsikan jd harus menunggu
,sarapan nya enak makanan selalu hangat ada berbagai macam pilihan service jugaa helpful bgt dibantu dengan mba devita
,pelayanan nya prima pelayan nya ramah makanan ok kebersihan juga ok siiplah kalo ke jogja rekomen banget stay di hotel ini baik utk bisnis maupun staycation
,pelayanan nya rmah baik sopan tempatnya nyaman bersihh rekomended buat menginap disini thanks pelayanan nyaa
,iftar di hotel ini bener bener oke banget pelayanannya bagus staffnya ramah makanannya enak dan variatif
,salma untuk pengalaman menginap breakfast lengkap kamar nyaman lokasi hotel ditengah kota mudah akses ke lokasi lain
,pelayanan super ramah dan baik makanan juga enak dan bermacam macam suka dengan pelayanan dengan mba nya si the best kalo ke jogja bakal mampir kesini lagi sii
,posisi strategis mau ke marlboro di dekat hotel sdh ada halte
,sarapannya enak banget menunya beragam dan fresh karyawannya juga ramah dibantu banget sama mbak lena
,sangat nyaman tempat nya dan ramah pelayanannya the best
,pelayanannya bagus fasilitas nya ok pokoknya best
,layak dan menyenangkan untuk bermalam bersama keluarga di sini
,hotel dgn pelayanan yg bagus hospitality sangat baik dari semua staf sarapan enak dan bervariasi kamar bersih namun beberapa bagian furniture sudah perlu perbaikan dan penerangan redup bisa lebih ditingkatkan secara umum ini hotel yg luar biasa strategis dan nyaman terima kasih servicenya luar biasa
,menginap d n lokasi strategis kamar tamu yang luas dibandingkan hotel bintang sejenis meski perlu ada peremajaan karena kesan tua masih terlihat staf hotel ramah mulai front liner petugas di restoran hingga housekeeper recommended
,tapi yg lainnya bagus bagus bgt kamarnya interiornya dan pelayanannya super bagus makanannya enak enak hanya di wifi nya sedikit lama
,overall semuanyaa worth it mulai dari pelayanan breakfast room service dll
negatif,jejaring accor yg kurang baik utk pelayanan checkin di dini hari tidak ada yg standby membawa semua barang sendiri tdk ada satpam shower air panas yg baru panas setelah dibiarkan mengalir selama
,pelayanan luar biasa staf ramah dan profesional kamar bersih mewah dan super nyaman fasilitas lengkap kolam renang gym dan sarapan semua top lokasi strategis suasana tenang pengalaman menginap yang memuaskan
,hotel yang nyaman dan pelayanannya sangat baik kamar bagus bersih dan wangi makanan yang disediakan sangat enak
,kalau ke yogya sering menginap disini makanan enak pelayanannya ramah nyaman
negatif,tempat tidurnya agak bikin gatal kamarnya luas kulkasnya gak dingin ac nya gak dingin lokasinya enak di tengah kota
negatif,pelayanan ramah makanan enak hanya smooking room yang tersedia pendingin ruangan tidak bisa dikontrol suhunya dingin banget
,enak sekali untuk breakfast di grand mercure dari buffet dessert minuman komplit dan rasanya enak sekali service nya oke dan bagus dibantu oleh mba lena
,makanan ikan tepung agak keras minuman tidak menyediakan kopi saat diner buah melon tidak manis untuk lainnya bagus dan enak pelayanan bagus dan ramah
,sarapan pagi ini sangat enak memuaskan
negatif,suasana ruangan kamar suram pintu kamar mandi rusak tidak bisa tertutup rapat miris untuk sekelas hotel bintang lima cocoknya hotel bintang tiga ini sangat mengecewakan
,makanan enak sekali apalagi sub daging nya dan juga pelayanan pokoknya mantap
,pelayanan di restorannya ramah makanan yang disajikan eunak
,makanan nya enak tempat nya nyaman dan pelayanan nya okee
,cozy place roomnya bersih adeem aminities nya lengkaapp staffnya ramah ramah bangett apalagi mba nalaa senyumnya maniss puooll
,makanan untuk bukber nya enak ragamnya bervariasi banyak macam yang bisa dipilih
,makanannya enak semua kamarnya bersih dan pelayan mbak aztutikamariah ramah
negatif,in room diningnya enak bgt buat pesen di kamar nasi goreng ayam bawang putih tapi breakfastnya agak kurang bubur mutiara kemanisan pancakenya krn gak dibikin fresh jadi dingin terus ditinggal gt aja gaada yg bikin baru lagi fresh
,tempatnya strategis karena berada di dalam kota yogyakarta untuk pelayanan juga bagus sekali dibantu dengan training lady lena terimakasih
,bangunannya bersih kamarnya bersih makananya enak viewnya bagus ada pelataran serasa di candi
,kamarnya sangat bersih dan fasilitas yang lengkap
,good stay lobby hingga koridor kamar sangat wangi receptionist sangat ramah dan ringan tangan untuk membantu lokasi hotel cukup strategis tidak terlalu jauh dari pusat kota rasa makanan ketika sarapan juga sangat cocok di lidah dengan variasi yang sangat banyak
,pelayan ramah menyenangkan trimakasih kakak airin ojt semoga di terima
,dari kamar dan menu makanan semua sangat memuaskan banyak pilihan menu makanannya
,pelayanan sat set makna joss
negatif,dibagian restonya beberapa gelas masih ada bekas lipstiknya dan bau amis refil buffe makanan menunggu lama mungkin kedepannya lebih diprepare lagi agar tamu tidak menunggu lama untuk makan
,menu sarapan dan penyajian bagus lokasi sarapan bagus krn bisa melihat gunung merapi kebersihan area sarapan bagus pelayanan bagus
negatif,awalnya mau menginap malam tapi hanya malam saja breakfastnya kurang memuaskan main course beberapa tidak hangat atau panas saya coba pastry agak keras digigit stall omlete antre cukup lama ketika check out tgl jan
,meeting room sewu sangat nyaman mudah diakses makanan juga sangat enak sup ayam tofu nya enak banget es teler nya juga enak staff ramah dan sopan
netral,hotel mudah dijangkau dari stasiun bersih harum stafnya semua ramah makanan variatif dan enak sayangnya late check out cuma sampai biasanya bisa di tapi ga masalah overall sangatt oke
netral,untuk kamar nyaman hanya saja untuk tekhnisii memperhatikan segi fasilitas seperti toilet selebihnya sangat memuaskan
,pelayanan mbak meriska baik ramah makan enak nasgor ramah di lidah suasana nyaman pokonya mantaaap tenan
,kamarnya nyaman pelayanan ramah dan lokasi cukup oke
,kamar nyaman pelayan resto ramah hotel bersih dan rapi sempat minta sarapan untuk dibawa dalam perjalanan nasi goreng dalam kotak tanpa air minum dan tas untuk membawa semoga lain kali lebih cermat
,silvia sarapan nya enak
,hotelnya sangat menyenangkan dekat dengan pusat kota kamarnya bersih sajian di restoran enak menu juga bervariasi
negatif,hotel terlalu baik masa saya pesen kamar nomer masi ada orangnya saya komplain ke resepsionis dan keliatan bingung juga lalu lift juga sering eror pencrt tombol lantai malah ke lantai gimana ini grand mercure masa hotel bintang pelayanan seperti ini
,breakfast variatif menunya banyak enak kamar juga enak dinginn rame juga
,kebersihan hotel sangat bersih pelayanan sangat memuaskan untuk sarapan mewah dan nikmat di tambah ada room buat yg merokok
,tempatnya enak kedap suara gak berisik kalo teriak gak kedengeran dari luar
,ikan nya enak pas dan suasana nyaman
,hotel nya bagus karyawan nya ramah lokasi nya di tengah kota jadi mudah kalau mau cari lokasi wisata kamar nya mewah saya kurang beruntung karena mendapat kamar yg ac ny agak berdengung over all is exelence
,sarapan paginya enak pelayan ramah kamar nyaman tapi saat iftar terlalu membludak perugas resto beberapa sibuk tapi ada yg cuma
negatif,kecewa udh reservasi udh bela in datang langsung seminggu sebelumnya untuk milih tempat buat bukber sudah deal tp tanpa dikonfirmasi tempat yg udh kita pesan dikasih ke rombongan lain dan kami dikasih tempat di pojokan yg sempit banget gak banget lah
,tempatnya keren dan suasananya juga bagus hiasan di setiap dindingnya buat kita ga bosen suasananya juga bikin adem selain itu pelayanan juga baik sekali para pekerja sangat ramah selain itu makanan nya juga enak hehe
,pelayanan dan kamar luar biasa ngak nyesel dech sukses trus grand mercure
,makanan enak dan pilihan nya banyak
,kamar nya bersih sarapannya cukup enak dan banyak varian nya lokasi strategis my first time stay here and surely not my last
,fasilitas enak makan nya juga enak dan nyaman
,baru pertama kalinya nginep di sini tp udah di bikin senyaman itu sama fasilitasnya kebersihannya dan pelayanannya next bakal ajakin keluarga si buat nginep di hotel ini lagi
,sangat memuaskan pelayanan mbak silvia makananya juga lezat
,hotelnya mewah bersih dan rapih pelayanannya bagus pengen balik lagi pokonyaa mantap
,banyak menu sarapannya makasih layanannya mba cerita
,semua menu enak dan approved pelayanan sangat ramah dan gercep mbak salma
,sebagai hotel bintang grand mercure yogyakarta menghadirkan pengalaman menginap yang elegan dengan sentuhan budaya jawa pada desain interiornya berlokasi strategis di kawasan adisucipto hotel ini dekat dengan pusat kota dan area
,kamar oke walau dapat yg amoking room tapi di dalam kamar tidak ada bau rokok sama sekali bersih dan ac dingin
,datang jam mau cek in data dah lengkap tp disuruh nunggu katanya kamar msh dibersihkan heran kok jam segitu kmr blm ready satu setgh jam kemudian dioper ke hotel lain katanya sdh penuh kayake gk siap terima rombongan lebih dari orang
,hotelnya nyaman kamarnya luas dan bersih makanan di restorannya banyak jenisnya dan enak terima kasih
,akhir mei lalu menginap di hotel ini dalam rangka kedinasan untuk detail reviewnya
,mulai dari pelayanan yang ramah dan profesional hingga suasana yang nyaman dan elegan semuanya terasa sempurna kamar yang saya tempati sangat bersih dan dilengkapi dengan fasilitas yang lengkap memberikan kenyamanan maksimal selama saya
,tempatnya strategis interiornya juga bagus ada unsur jawa yang membuat menarik kamar nyaman makanan juga enak recommended kalau ke jogja
,bubur ayam dan soto nya yg di resto saat breakfast berasa kurang garam mungkin saya suka makanan yg agak asin saja pelayanan lain nya sangat baik pertahankan dan bila perlu ditingkatkan lagi agar lebih memuaskan customer
,letak hotel strategis pelayanan bagus kamar nyaman
,hotel yg bagus pelayanan ramah cocok untuk stay cation
,layanan ok baget lokasi strategis kamarnya bersih
,pelayanan ramah makanan nya enak tempat nya luas bersih dan nyaman
,selamat malam dear management grand mercure hotel yogyakarta
negatif,pelayanan cukup bagus tapi untuk keamanan nya sangat kurang terjadi insiden helm hilang jobdesk security kurang maksimal tolong untuk keamanan lebih dijaga lagi dan jobdesk mengenai tanggungjawabnya nyaman tapi keamanan kurang juga membuat pengunjung hotel jadi was was
,bersih menu bteakfastnya beragam dan menu tradisonalnya hampir selalu ada yg jarang kami temukan dihotel lain
,sebuah hotel yang sangat strategis di pusat keramaian kota di kawasan depok sleman yogyakarta dengan fasilitas yang keren pelayanan yang sangat baik dan makanan yang sedap jadi ketagihan nih insya allah kalo ada urusan ke yogya lagi kepingin nginap di sini lagi deh hehe
,menginap hari malam overall pelayanan bagus banget dari room service hingga housekeeping fasilitas lengkap ada kolam renang dan gym menu sarapan sangat bervariasi dan rasanya oke sangat worth the price
,menjadi salah satu hotel yg rekomended buat staycation di jogja nyaman bgt staycation disini toiletris lengkap
,se waktu saya di bar saya di layani dengan kak thania dan saya di berikan rekomendasi beberapa wisata di jogja pelayanan nya sangat bagus dan ramah next akan kesini lagi
negatif,sebagai penyandang hotel bintang rasa nya seperti bintang saja kamar ngadep beton perabotan kuno sudah minta lantai atas dan kamar dengan view di aps masih aja dikasi yg ngadep beton sarapan juga dibanding gram dan harus
,sarapan nya enak dan sangat puas dan juga lengkap pelayanan mbak lena juga baik
,makanannya enak tempatnya juga baguss waktu itu pernah bukber disituu
,breakfast nya oke pelayanan baik sekali
,lokasi hotel strategis pelayanan ramah kamarnya dan meeting room nya nyaman restonya ok
,wajib balik lagi ke sini makanan enak trus pelayannya ramah
,untuk pelayanan sangan bagus dan untuk sarapannya juga makannya enakk
,croissant nya enak bangett cocok buat breakfast makanan yang lain juga enak selalu di refill dan masa waktu breakfast juga panjang jadi puas klo mau lama an
,menyenangkan dan beekesan sekali matur nuwun mb thania cantik dan ramah
netral,kesana krn ada acara jadi tidak paham bgmn kamarnya tp pelayanan bagus makanan standar aja
,resepsionis ramah pelayanan bagus next nanti nginep lagi disini
,break feast enak dan pelayanan baik dari mbak lena
,pelayanan baik karyawan hotelnya ramah makanannya juga enak lengkap ada banyak menu nya juga
,pelayanan ramah nyaman makanan enak bagus pokoknya
,untuk fasilitas kamar nyaman dan untuk sarapannya enak hangat untuk pelayanan nya mba devita baik ramah terima kasih mba
,need a lot of improvement nginep disini karena hotel di jogja lagi full semua agak kaget dengan keadaan
,mrsa nyaman dn mknananya jg enk layanan memuaskan
,tempatnya sangat luas nyaman bersih pelayanannya juga oke kamarnya juga sangat nyaman buat istirahat
,hotel bagus rapi bersih dekat jalan raya pelayanan sangat bagus top pokoknya
,variasi makanannya banyak rasanya juga enak kamarnya besar dan bagus ac nya dingin pelayanan oke
,bagus dong dtengah kota jogya so deket mana breakfastnya enyaak banyak kalipun menunya suasana hotel jga nyaman apalagi yg liburan lama bisa nyobain berenang ngajak keluarganya rame tambah berkesan pasti yuuk ah mampir pesan bobo sini yo
,makanan sangat enak dan sangat puas dengan segala hidangannya
,lokasi hotel strategis layanan sudah baik dan bagus kamar hotel nyaman siiiip menu makanan mantaaap mantuuul siiiip
,pelayanan sangat ramah sarapan banyak variasi dan juga enak recommended place to stay in jogja
,ini merupakan pertama kali untuk menginap di grand mercure secara umum lokasi dari hotel nya strategis dan mudah dijangkau kurang lebih menit dari stasiun kereta yogyakarta
,senangnya bisa melepas lelah dengan nyaman setelah melalui running meeting yang hatic
,dari masuk menuju ke room makan sudah disambut baik dengan mbak tania dan untuk sarapan favorit ada jamu dan bubur ayam
,untuk makan siang pada hari ini sangat enak dan memuaskan pelayanan nya juga ramah
,sarapanya banyak banget variannya rasanya enaaak pelayannya baik dan ramah aztuti
,penginapan yang sangat rekomendasi banget fasilitas kebersihan nya terjaga banget next ngajak temen temen untuk nginep disini
,review kamar nyaman
,waitress nya ramah terutama neng ega makanannya enak recomended
,tempatbya nyaman staffnya sangat ramah
,menu makanan enak citarasa lekoh dan pudingnya endull roomnya excelent dehh bersih wangi
,pelayanan nya sgt ramah terima kasih mas bobby
,hotelnya nyaman bangettt pengen nginap di sini terus pelayanan staffnya juga juaraa selalu senyum ketika eye contact sarapannya pun enak yummy
,staff ramah dan helpfull ketika kemarin ktp saya ketinggalan pihak hotel sangat cepat dan kooperatif mengirimkan ke alamat rumah saya di kota lain terimakasih banyak grand mercure terutama mas ifnu phone operator yang sudah sangat
,late check in masih dapat amenities kasur enak kamar luas
,hotel super nyaman bersih dan ramah
,pelayanannya oke dan membantu terutama saat sarapan dibantu oleh mba lena disini banyak menu yang bisa dipilih dan tradisional dan modern enak dan cocok di lidah
,alhamdulillah pengalaman baru untuk menginap disini terima kasih pelayanannya ramah dan santun makanan masih masuk di lidah indonesia kamar juga lebar nyaman
,mantap pelayanannya ramahhhh makanan nya enakkkk
,pelayananya memuaskan kamar bersih dan rapi makananya tidak mengecewakan menunya variatif
,sungguh luar biasa nyaman dan mewah harga terjangkau cocok banget kalo lagi liburan ke jogja buat stay bersama suami
,staff nya friendly dan ramah selalu menyapa dg senyum serta sopan kamarnya jg bersih dan nyaman sekali bwt istirahat thank grand mercure
,bagus sarapan enak pelayanan staf helpfull thankuoy mba silvia
,pengalaman menginap di hotel yang menyenangkan bareng pasangan kamar bersih dan luas bantal dan selimut juga wangi kamar mandi juga bersih shower dan air hangat tersedia jam
,makananya enak ramah stafnya dan membantu memberikan suprise sama suami ku yg ultah
,kamarnya cukup bersih pelayanan nya bagus makanan nya enak mantab grand mercure
,salah satu hotel area adisucipto yogyakarta yg cukup strategis juga lokasinya hotel ini nyambung dengan ibis saat masuk lobi vibes nya lumayan bertematik
,menu sarapan yang disuguhkan ada berbagai macam dan rasanya enak staff hotel ramah semua mungkin karena di yogyakarta kali yaaa tapi over all mantap dahhhh
,menu breakfast nya sangat bervariasi mulai dari indonesian food sampai western food ada disini
,kesan pertama masuk sangat memuaskan room juga bersih dan mewah pelayanan baik dan ramah makan malam cocok menunya terima kasih
,kamar super nyaman pelanyanan sangat ramah makannya pilihannya banyak banget dan enak enak terimaksih kepada mbak ayi dan mbak sopia sangat baik banget dan sangat ramah
,sarapannya enak view nya jg bagus restaurannta dekat dg kolam renang kamarnya jg nyqman kl cuaca cerah viewnya gunung merapi
,hotel bagus dan fasilitasoke makanan enak dan nyaman selama stay hari bisa jadi hotel paling bagus denag tema borobudur
,secara over all karena saya sudah menjadi anggota all accor pelayanan dari hotel grand mercure yogya sangat memuaskan terutama mbak gita yang selalu dengan senang hati dan ramah men servis kami selama hari di saat breakfast
,sangat nyaman dengan kamarnya meski pintu kamar mandinya seret saat dibuka dan ditutup sarapan pagi sangat bervariasi dari yang berkuah roti makanan berat macam macam lauk dan juga makanan penuh serat seperti buah dan salad makan siang
,menu sarapan nikmat cita rasa bumbu terasa
,perfect place to stay breakfastnya excellent mulai dr berbagai macam yg namanya bread donat kue tradisional masakan tradisional masakan kekinian ada rasanya juara fasilitas ok
,breakfast disini enak banget mba nya ramah ramah makanannya lengkap
,menu makanan banyak untuk rasa enak dan pelayangan sangat ramah di bantu oleh mbak lena
,breakfast buffet di grand mercure yogyakarta premium quality sekali ada bakery salad soto jenang indonesian breakfast continental breakfast dan banyak sekali lainnya
,sarapan lengkap dan enak best deh pokoknya pelayana aztuti ramah sekali
,layanan semua baik resto komplit makanannya semua enak
,rekomen bngt dengan semua fasilitasnya yg oke dan tentunya aman dan nyaman
,makanan enak menu lengkap pelayanan memuaskan
,sarapannya enak banyak pilihan kamar nyaman ada halte bus trans jogja lengkap klo mau ke malioboro gampang
,makanan nya enak pelayanan nya ramah baik secara keseluruhan
,pelayanan dan makanan sangat baik terima kasih mba lena untuk pelayanannya yang sangat ramah
,luar biasa breakfast lezat dan segar best breakfast hotel yg pernah saya dapatkan so far
,bed nya rapi empuk bgt jadi pengen rebahan terus kamarnya juga nyaman bathroom nya simple tapi wangi dan jgn khawatir ada peralatan mandi lengkap jadi gak khawatir klo lagi ada perjalanan bisnis
,bintang satu untu security yang bertugas pagi juli jam saya janjian dengan tamu hotel di depan lobby baru datang langsung dibentak dan disuruh nunggu di b padahal tamu saya sudah nunggu didepan lobby untung tamu saya
,tempat kamar dan pelayanan dari waiters nya manis sangat bagus
,breakfast enak banyak pilihannya rekomen untuk kegiatan meeting karena banyak kamar
,recommended banget nginep di sini
,serasa dirumah sendiri dengan pelayanan terbaik
,layanannya sangat baik makanannya enak enak juga devinta pelayanannya ramah
